Player,Pos,Age,Tm,G,TRB,AST,STL,BLK,TOV,PTS,ALL-STAR
Bruce Brown\brownbr01,PG,23,DET,58,4.7,4,1.1,0.5,1.7,8.9,0
Charlie Brown\brownch02,SG,22,ATL,10,0.4,0.2,0.2,0.2,0.3,2,0
Jaylen Brown\brownja02,SG,23,BOS,57,6.4,2.1,1.1,0.4,2.2,20.3,0
Moses Brown\brownmo01,C,20,POR,9,1.6,0.1,0.1,0.1,0.3,1.2,0
Sterling Brown\brownst02,SF,24,MIL,52,3.5,1,0.6,0.1,0.8,5.1,0
Troy Brown Jr.\browntr01,SF,20,WAS,69,5.6,2.6,1.2,0.1,1.1,10.4,0
Jalen Brunson\brunsja01,PG,23,DAL,57,2.4,3.3,0.4,0.1,1.2,8.2,0
Thomas Bryant\bryanth01,C,22,WAS,46,7.2,1.8,0.5,1.1,1.2,13.2,0
Reggie Bullock\bullore01,SG,28,NYK,29,2.3,1.4,0.9,0.1,0.7,8.1,0
Trey Burke\burketr01,PG,27,TOT,33,1.5,2.5,0.5,0.1,0.6,7.4,0
Trey Burke\burketr01,PG,27,PHI,25,1.4,2.1,0.3,0,0.5,5.9,0
Trey Burke\burketr01,PG,27,DAL,8,1.9,3.8,1.1,0.1,1.1,12,0
Alec Burks\burksal01,SF-SG,28,TOT,66,4.3,2.9,0.9,0.3,1.4,15,0
Alec Burks\burksal01,SF,28,GSW,48,4.7,3.1,1,0.4,1.6,16.1,0
Alec Burks\burksal01,SG,28,PHI,18,3.1,2.1,0.7,0,0.8,12.2,0
Deonte Burton\burtode02,SF,26,OKC,39,1.5,0.4,0.2,0.3,0.5,2.7,0
Jimmy Butler\butleji01,SF,30,MIA,58,6.7,6,1.8,0.6,2.2,19.9,1
Bruno Caboclo\cabocbr01,C,24,TOT,30,2,0.4,0.5,0.6,0.4,3,0
Bruno Caboclo\cabocbr01,C,24,MEM,22,2,0.5,0.5,0.5,0.3,2.8,0
Bruno Caboclo\cabocbr01,C,24,HOU,8,2,0.3,0.6,0.6,0.8,3.5,0
Devontae Cacok\cacokde01,C,23,LAL,1,5,1,0,0,0,6,0
Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,69,2.1,1.6,0.8,0.2,0.9,9.3,0
Vlatko Čančar\cancavl01,PF,22,DEN,14,0.7,0.2,0.1,0.1,0.2,1.2,0
Clint Capela\capelca01,C,25,HOU,39,13.8,1.2,0.8,1.8,1.6,13.9,0
DeMarre Carroll\carrode01,SF-C,33,TOT,24,2.3,1,0.3,0.2,0.7,3.6,0
DeMarre Carroll\carrode01,SF,33,SAS,15,2.1,0.7,0.1,0.1,0.7,2.2,0
DeMarre Carroll\carrode01,C,33,HOU,9,2.7,1.6,0.7,0.3,0.8,6,0
Jevon Carter\carteje01,PG,24,PHO,58,2,1.4,0.8,0.3,0.6,4.9,0
Vince Carter\cartevi01,PF,43,ATL,60,2.1,0.8,0.4,0.4,0.6,5,0
Wendell Carter Jr.\cartewe01,C,20,CHI,43,9.4,1.2,0.8,0.8,1.7,11.3,0
Michael Carter-Williams\cartemi01,SG,28,ORL,45,3.3,2.4,1.1,0.5,1.2,7.2,0
Alex Caruso\carusal01,PG,25,LAL,64,1.9,1.9,1.1,0.3,0.8,5.5,0
Willie Cauley-Stein\caulewi01,C,26,TOT,54,5.8,1.3,0.9,1.1,0.7,7.2,0
Willie Cauley-Stein\caulewi01,C,26,GSW,41,6.2,1.5,1.1,1.2,0.9,7.9,0
Willie Cauley-Stein\caulewi01,C,26,DAL,13,4.6,0.8,0.3,0.8,0.4,5.2,0
Tyson Chandler\chandty01,C,37,HOU,26,2.5,0.2,0.2,0.3,0.3,1.3,0
Wilson Chandler\chandwi01,PF,32,BRK,35,4.1,1.1,0.5,0.3,1,5.9,0
Joe Chealey\chealjo01,PG,24,CHO,4,0,0.3,1,0,0.5,0.5,0
Zylan Cheatham\cheatzy01,PF,24,NOP,4,2.3,0.8,0.3,0.3,1,3,0
Chris Chiozza\chiozch01,PG,24,TOT,28,1.9,3,0.8,0.1,1.1,5.1,0
Chris Chiozza\chiozch01,PG,24,WAS,10,1.5,2.8,1,0.2,0.9,2.7,0
Chris Chiozza\chiozch01,PG,24,BRK,18,2.1,3.1,0.6,0.1,1.3,6.4,0
